station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange
MM-078,Adarsh Nagar (Mumbai),आदर्श नगर (मुंबई),Line 6,Elevated,Side,Under construction,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Lower Oshiwara",Metro,,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Lower Oshiwara"
MM-079,Airport Colony,विमानतळ वसाहत,Line 7,Elevated,Side,Under construction,–,Metro,,–
MM-080,Amar Mahal Junction,अमर महल जंक्शन,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-081,Anik Nagar Bus Depot,आणिक नगर बस डेपो,Line 11,At-grade,Side,Under construction,–,Metro,,–
MM-082,Anjur Phata,अंजूर फाटा,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-083,Apollo,अपोलो,Line 8,Elevated,Side,Under construction,–,Metro,,–
MM-084,Baiganwadi,बैगनवाडी,Line 8,Elevated,Side,Under construction,–,Metro,,–
MM-085,Bale,बाळे,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-086,Balkum Naka,बाळकुम नाका,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-087,Bandra,वांद्रे,Line 2B,Elevated,Side,Under construction,Transfer station to Bandra railway station,Metro,,Transfer station to Bandra railway station
MM-088,Bhandup,भांडुप,Line 4,Elevated,Side,Under construction,Transfer station to Bhandup railway station,Metro,,Transfer station to Bhandup railway station
MM-089,Bhandup Mahapalika,भांडुप महापालिका,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-090,Bhendi Bazaar,भेंडी बाजार,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-091,Bhiwandi,भिवंडी,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-092,BPT Hospital,बी.पी.टी. रुग्णालय,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-093,Byculla,भायखळा,Line 11,Underground,Island,Under construction,Transfer station to Byculla railway station,Metro,,Transfer station to Byculla railway station
MM-094,Cadbury Junction,कॅडबरी जंक्शन,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-095,CGS Colony,सी.जी.एस. कॉलनी,Line 11,Underground,Island,Under construction,Transfer station to Bhakti Park monorail station,Metro,,Transfer station to Bhakti Park monorail station
MM-096,Coal Bunder,कोळसा बंदर,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-097,Crawford Market,क्रॉफर्ड मार्केट,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-098,Dhamankar Naka,धामणकर नाका,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-099,Dombivali MIDC,डोंबिवली एमआयडीसी,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-100,Dongripada,डोंगरीपाडा,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-101,Durgadi Fort,दुर्गाडी किल्ला,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-102,Eastern Express Highway,पूर्व द्रुतगती महामार्ग,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-103,ESIC Nagar,ई.एस.आय.सी. नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-104,Gaimukh,गायमुख,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-105,Gaimukh Reti Bandar,गायमुख रेतीबंदर,Line 10,Elevated,Side,Under construction,–,Metro,,–
MM-106,Gandhi Nagar (Kanjurmarg),गांधी नगर,Line 4,Elevated,Side,Under construction,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Kanjurmarg (West)_metro_station ""Kanjurmarg (West) metro station"") and Transfer station to Kanjur Marg railway station",Metro,,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Kanjurmarg (West)_metro_station ""Kanjurmarg (West) metro station"") and Transfer station to Kanjur Marg railway station"
MM-107,Ganesh Nagar (Kalyan),गणेश नगर (कल्याण),Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-108,Ganesh Nagar,गणेश नगर (वडाळा),Line 11,Underground,Island,Under construction,–,Metro,,–
MM-109,Garodia Nagar,गरोडिया नगर,Line 4; Line 8,Elevated; underground,Side and island,Under construction,–,Metro,,–
MM-110,Godrej Company,गोदरेज वसाहत,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-111,Golavali,गोळवली,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-112,Gopal Nagar,गोपाळ नगर,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-113,Govegaon MIDC,गोवेगाव एम.आय.डी.सी.,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-114,Gowniwada,गोवनीवाडा,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-115,Hay Bunder,हे बंदर,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-116,Hedutane,हेदुटणे,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-117,Horniman Circle,हॉर्निमन सर्कल,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-118,IIT Powai,आय.आय.टी. पवई,Line 6,Elevated,Side,Under construction,–,Metro,,–
MM-119,ILFS,आय.एल. आणि एफ.एस.,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-120,Income Tax Office,आयकर कार्यालय,Line 2B,Elevated,Side,Under construction,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Bandra Kurla Complex",Metro,,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Bandra Kurla Complex"
MM-121,Indira Nagar (Vile Parle),इंदिरा नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-122,ISBT,आय.एस.बी.टी.,Line 8,Elevated,Side,Under construction,–,Metro,,–
MM-123,Jogeshwari (West),जोगेश्वरी (पश्चिम),Line 6,Elevated,Side,Under construction,Transfer station to Jogeshwari railway station,Metro,,Transfer station to Jogeshwari railway station
MM-124,Juinagar,जुईनगर,Line 8,Elevated,Side,Under construction,Transfer station to Juinagar railway station,Metro,,Transfer station to Juinagar railway station
MM-125,JVLR Junction,जे.व्ही.एल.आर.,Line 6,Elevated,Side,Under construction,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Jogeshwari East",Metro,,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Jogeshwari East"
MM-126,Kalher,काल्हेर,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-127,Kalyan APMC,कल्याण ए.पी.एम.सी.,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-128,Kalyan Railway Station,कल्याण रेल्वे स्थानक,Line 12,Elevated,Side,Under construction,Transfer station to Kalyan Junction railway station,Metro,,Transfer station to Kalyan Junction railway station
MM-129,Kanjurmarg (West),कांजुर मार्ग,Line 6,Elevated,Side,Under construction,"Interchange with Line 4 ""Green Line (Mumbai Metro)"") on Gandhi Nagar (Kanjurmarg)_metro_station ""Gandhi Nagar (Kanjurmarg) metro station"") and Transfer station to Kanjur Marg railway station",Metro,,"Interchange with Line 4 ""Green Line (Mumbai Metro)"") on Gandhi Nagar (Kanjurmarg)_metro_station ""Gandhi Nagar (Kanjurmarg) metro station"") and Transfer station to Kanjur Marg railway station"
MM-130,Kapurbawdi,कापूरबावडी,Line 4; Line 5,Elevated,Side and island,Under construction,–,Metro,,–
MM-131,Kasarvadavali,कासारवडवली,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-132,Kasheli,कशेळी,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-133,Kashimira,काशिमिरा,Line 10,Elevated,Side,Under construction,–,Metro,,–
MM-134,Khira Nagar,खिरा नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-135,Kolegaon,कोळेगाव,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-136,Kongaon,कोनगाव,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-137,Kurla,कुर्ला,Line 8,Underground,Island,Under construction,Transfer station to Kurla railway station,Metro,,Transfer station to Kurla railway station
MM-138,Kurla (East),कुर्ला (पूर्व),Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-139,Laxmi Nagar (Ghatkopar),लक्ष्मी नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-140,Lokmanya Tilak Terminus,लोकमान्य टिळक टर्मिनस,Line 8,Underground,Island,Under construction,Transfer station to Lokmanya Tilak Terminus,Metro,,Transfer station to Lokmanya Tilak Terminus
MM-141,LP,एल.पी.,Line 8,Elevated,Side,Under construction,–,Metro,,–
MM-142,Mahakali Caves,महाकाली गुहा,Line 6,Elevated,Side,Under construction,–,Metro,,–
MM-143,Mahapalika Marg,महापालिका मार्ग,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-144,Majiwada,माजिवडा,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-145,Manpada (Dombivali East),मानपाडा (डोंबिवली),Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-146,Manpada (Thane),मानपाडा (ठाणे),Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-147,Deepak Hospital (Medtiya Nagar),मेडतिया नगर,Line 9,Elevated,Side,Under construction,–,Metro,,–
MM-148,MTNL,एम.टी.एन.एल.,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-149,Mulund Fire Station,मुलुंड अग्निशमन केंद्र,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-150,Mulund Naka,मुलुंड नाका,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-151,Nagpada Junction,नागपाडा जंक्शन,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-152,Nanavati Hospital,नानावटी रुग्णालय,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-153,Navi Mumbai International Airport West,नवी मुंबई आंतरराष्ट्रीय विमानतळ पश्चिम,Line 8,Elevated,Side,Under construction,–,Metro,,–
MM-154,Navi Mumbai International Airport Terminal 2,नवी मुंबई आंतरराष्ट्रीय विमानतळ टर्मिनल २,Line 8,Elevated,Side,Under construction,–,Metro,,–
MM-155,National College (Bandra),राष्ट्रीय महाविद्यालय,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-156,Naval Housing,नौदल गृहनिर्माण,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-157,Nerul,नेरूळ,Line 8,Elevated,Side,Under construction,Transfer station to Nerul railway station,Metro,,Transfer station to Nerul railway station
MM-158,Nilaje Gaon,निळजे गाव,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-159,Pant Nagar,पंत नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-160,Phoenix Mall,फिनिक्स मॉल,Line 8,Underground,Island,Under construction,–,Metro,,–
MM-161,Pisarve,पिसार्वे,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-162,Pisarve Depot,पिसार्वे डेपो,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-163,Pisavali Gaon,पिसवली गाव,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-164,Powai Lake,पवई तलाव,Line 6,Elevated,Side,Under construction,–,Metro,,–
MM-165,Prem Nagar,प्रेम नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-166,Purna,पूर्णा,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-167,Rajnouli Village,रांजणोली,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-168,Rambaug (Powai),रामबाग,Line 6,Elevated,Side,Under construction,–,Metro,,–
MM-169,Reay Road,रे रोड,Line 11,Underground,Island,Under construction,Transfer station to Reay Road railway station,Metro,,Transfer station to Reay Road railway station
MM-170,RTO Thane,आर.टी.ओ. ठाणे,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-171,SG Barve Marg,एस.जी. बर्वे मार्ग,Line 2B; Line 8,Elevated; underground,Side and island,Under construction,–,Metro,,–
MM-172,Sagaon,सागाव,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-173,Sagar Sangam,सागरसंगम,Line 8,Elevated,Side,Under construction,–,Metro,,–
MM-174,Sahajanand Chowk,सहजानंद चौक,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-175,Sai Baba Nagar,साई बाबा नगर,Line 9,Elevated,Side,Under construction,–,Metro,,–
MM-176,Saki Vihar Road,साकी विहार,Line 6,Elevated,Side,Under construction,–,Metro,,–
MM-177,Sanpada,सानपाडा,Line 8,Elevated,Side,Under construction,Transfer station to Sanpada railway station,Metro,,Transfer station to Sanpada railway station
MM-178,Saraswat Nagar,सारस्वत नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–
MM-179,Seawoods,सीवूड्स,Line 8,Elevated,Side,Under construction,Transfer station to Seawoods-Darave-Karave railway station,Metro,,Transfer station to Seawoods-Darave-Karave railway station
MM-180,SEEPZ Village,सीप्झ गाव,Line 6,Elevated,Side,Under construction,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Aarey JVLR",Metro,,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Aarey JVLR"
MM-181,Sewri,शिवडी,Line 11,Underground,Island,Under construction,Transfer station to Sewri railway station,Metro,,Transfer station to Sewri railway station
MM-182,Shahid Bhagat Singh Garden,शहीद भगतसिंग उद्यान,Line 9,Elevated,Side,Under construction,–,Metro,,–
MM-183,Shangrila,शांग्रीला,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-184,Shivaji Chowk (Mira Road),शिवाजी चौक (मीरा रोड),Line 10; Line 13,Elevated,Side and island,Under construction,"Interchange with Line 9 ""Red Line (Mumbai Metro)"") on Miragaon",Metro,,"Interchange with Line 9 ""Red Line (Mumbai Metro)"") on Miragaon"
MM-185,Shreyas Cinema,श्रेयस सिनेमा,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-186,Shyam Nagar (Mumbai),श्याम नगर (मुंबई),Line 6,Elevated,Side,Under construction,–,Metro,,–
MM-187,Siddharth Colony,सिद्धार्थ वसाहत,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-188,Sonapur,सोनापूर,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-189,Sonarpada,सोनारपाडा,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-190,SPM Circle,एस.पी.एम. सर्कल,Line 11,Underground,Island,Under construction,–,Metro,,–
MM-191,Subhash Chandra Bose Stadium,सुभाषचंद्र बोस स्टेडियम,Line 9,Elevated,Side,Under construction,–,Metro,,–
MM-192,Suman Nagar,सुमन नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-193,Surya Nagar,सूर्य नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-194,Swami Samarth Nagar (Lokhandwala),स्वामी समर्थ नगर,Line 6,Elevated,Side,Under construction,–,Metro,,–
MM-195,Taloja,तळोजा,Line 12,Elevated,Side,Under construction,"Interchange with Line 1 (Navi Mumbai Metro) ""Line 1 (Navi Mumbai Metro)"") on Panchanand metro station",Metro,,"Interchange with Line 1 (Navi Mumbai Metro) ""Line 1 (Navi Mumbai Metro)"") on Panchanand metro station"
MM-196,Targhar,तरघर,Line 8,Elevated,Side,Under construction,Transfer station to Targhar railway station,Metro,,Transfer station to Targhar railway station
MM-197,Teen Haath Naka (Thane),तीन हात नाका,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-198,Temghar,टेमघर,Line 5,Elevated,Side,Under construction,–,Metro,,–
MM-199,Tikuji-ni-wadi,टिकुजी-नी-वाडी,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-200,Turbhe,तुर्भे,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-201,Vadavali,वडवली,Line 12,Elevated,Side,Under construction,–,Metro,,–
MM-202,Varsova Char Phata,वर्सोवा चार फाटा,Line 10,Elevated,Side,Under construction,–,Metro,,–
MM-203,Vashi,वाशी,Line 8,Elevated,Side,Under construction,Transfer station to Vashi railway station,Metro,,Transfer station to Vashi railway station
MM-204,Vijay Garden,विजय गार्डन,Line 4,Elevated,Side,Under construction,–,Metro,,–
MM-205,Vikhroli EEH,विक्रोळी ई.इ.एच.,Line 6; Line 14,Elevated,Side and island,Under construction,–,Metro,,–
MM-206,Vikhroli,विक्रोळी,Line 4,Elevated,Side,Under construction,Transfer station to Vikhroli railway station,Metro,,Transfer station to Vikhroli railway station
MM-207,Waklan,वाकळण,Line 12,Elevated,Side,Under construction,–,Metro,,–
MONO-001,Chembur,चेंबूर,Mumbai Monorail Line 1,,,Opened,Harbour / Chembur Railway Station,Monorail,2 February 2014,Harbour / Chembur Railway Station
MONO-002,VNP and RC Marg Junction,व्हीएनपी आणि आरसी मार्ग जंक्शन,Mumbai Monorail Line 1,,,Opened,Metro Line 2,Monorail,2 February 2014,Metro Line 2
MONO-003,Fertiliser Township,फर्टीलाइझर टाउनशिप,Mumbai Monorail Line 1,,,Opened,None,Monorail,2 February 2014,None
MONO-004,Bharat Petroleum,भारत पेट्रोलियम,Mumbai Monorail Line 1,,,Opened,None,Monorail,2 February 2014,None
MONO-005,Mysore Colony,मैसूर कॉलनी,Mumbai Monorail Line 1,,,Opened,None,Monorail,2 February 2014,None
MONO-006,Bhakti Park,भक्ती पार्क,Mumbai Monorail Line 1,,,Opened,Metro Line 4 (under construction),Monorail,2 February 2014,Metro Line 4 (under construction)
MONO-007,Wadala Depot,वडाळा डेपो,Mumbai Monorail Line 1,,,Opened,None,Monorail,2 February 2014,None
MONO-008,Guru Tegh Bahadur Nagar,गुरू तेग बहादुर नगर,Mumbai Monorail Line 1,,,Opened,Harbour / Guru Tegh Bahadur Nagar Railway Station,Monorail,3 March 2019,Harbour / Guru Tegh Bahadur Nagar Railway Station
MONO-009,Antop Hill,अँटॉप हिल,Mumbai Monorail Line 1,,,Opened,None,Monorail,3 March 2019,None
